时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2016-08-19,五	9.36		9.39		9.30		9.34		-0.21%		0.96%		51,458,296	480,599,060	0.174		2329		
2016-08-22,一	9.33		9.35		9.25		9.28		-0.64%		1.07%		58,213,348	540,203,990	0.197		2229		
2016-08-23,二	9.27		9.34		9.27		9.30		+0.22%		0.75%		45,854,184	426,507,300	0.155		2462		
2016-08-24,三	9.30		9.32		9.26		9.27		-0.32%		0.65%		39,764,365	368,999,440	0.135		2229		
2016-08-25,四	9.26		9.33		9.25		9.30		+0.32%		0.86%		53,691,959	498,541,400	0.182		2452		
2016-08-26,五	9.28		9.32		9.26		9.30		+0.00%		0.65%		44,657,165	414,857,220	0.151		1909		
2016-08-29,一	9.26		9.29		9.21		9.24		-0.65%		0.86%		53,354,491	492,634,860	0.181		2107		
2016-08-30,二	9.25		9.36		9.25		9.35		+1.19%		1.19%		53,166,939	494,860,980	0.180		2253		
2016-08-31,三	9.30		9.34		9.27		9.31		-0.43%		0.75%		51,661,895	480,272,620	0.175		2231		
2016-09-01,四	9.29		9.33		9.26		9.28		-0.32%		0.75%		50,718,107	471,525,520	0.172		1945		
2016-09-02,五	9.25		9.34		9.25		9.31		+0.32%		0.97%		55,920,117	520,513,040	0.189		2021		
2016-09-05,一	9.30		9.38		9.27		9.35		+0.43%		1.18%		46,370,362	432,936,870	0.157		1986		
2016-09-06,二	9.32		9.37		9.30		9.32		-0.32%		0.75%		52,474,557	488,927,620	0.178		2101		
2016-09-07,三	9.32		9.33		9.30		9.33		+0.11%		0.32%		49,702,240	462,671,350	0.168		2188		
2016-09-08,四	9.32		9.33		9.30		9.32		-0.11%		0.32%		25,082,575	233,593,290	0.085		1811		
2016-09-09,五	9.32		9.33		9.29		9.30		-0.21%		0.43%		33,205,479	309,151,680	0.112		1736		
2016-09-12,一	9.21		9.32		9.20		9.30		+0.00%		1.29%		101,620,696	943,392,020	0.344		2321		
2016-09-13,二	9.28		9.33		9.28		9.31		+0.11%		0.54%		29,864,601	277,949,500	0.101		2152		
2016-09-14,三	9.28		9.33		9.28		9.31		+0.00%		0.54%		36,142,016	336,343,460	0.122		2113		
2016-09-19,一	9.33		9.34		9.30		9.33		+0.21%		0.43%		30,281,801	282,011,900	0.102		2226		
2016-09-20,二	9.34		9.34		9.30		9.32		-0.11%		0.43%		28,593,192	266,292,410	0.097		1938		
2016-09-21,三	9.33		9.34		9.30		9.33		+0.11%		0.43%		27,347,386	254,795,420	0.093		1814		
2016-09-22,四	9.35		9.40		9.32		9.37		+0.43%		0.86%		24,338,581	227,946,230	0.082		2088		
2016-09-23,五	9.38		9.39		9.34		9.38		+0.11%		0.53%		23,468,694	219,993,470	0.079		2012		
2016-09-26,一	9.28		9.35		9.25		9.31		-0.75%		1.07%		64,411,335	599,254,990	0.218		2163		
2016-09-27,二	9.30		9.32		9.26		9.31		+0.00%		0.64%		42,702,782	397,080,760	0.145		1832		
2016-09-28,三	9.31		9.31		9.16		9.20		-1.18%		1.61%		50,170,690	463,785,230	0.170		1785		
